,Code_commune,COM,long,lat
3132,07298,Saint-Symphorien-sous-Chomérac,4.704217,44.719401
3133,07298,Saint-Symphorien-sous-Chomérac,4.704217,44.719401
3134,07299,Saint-Symphorien-de-Mahun,4.56019,45.164194
3135,07299,Saint-Symphorien-de-Mahun,4.56019,45.164194
3136,07300,Saint-Thomé,4.623243,44.501278899999996
3137,07301,Saint-Victor,4.673736,45.10029
3138,07302,Saint-Vincent-de-Barrès,4.7064959,44.661964000000005
3139,07303,Saint-Vincent-de-Durfort,4.643623000000001,44.804827
3140,07304,Salavas,4.37783,44.394962
3141,07305,Les Salelles,4.103967,44.418878
3142,07306,Sampzon,4.335636,44.417904
3143,07307,Sanilhac,4.2500279999999995,44.535853
3144,07308,Sarras,4.800003,45.186701899999996
3145,07309,Satillieu,4.613849,45.15059
3146,07310,Savas,4.6877319,45.300803
3147,07310,Savas,4.6877319,45.300803
3148,07311,Sceautres,4.6074209999999995,44.616914
3149,07311,Sceautres,4.6074209999999995,44.616914
3150,07312,Sécheras,4.775856,45.130922999999996
3151,07312,Sécheras,4.775856,45.130922999999996
3152,07313,Serrières,4.763234,45.318721999999994
3153,07313,Serrières,4.763234,45.318721999999994
3154,07314,Silhac,4.606372900000001,44.881408
3155,07314,Silhac,4.606372900000001,44.881408
3156,07315,La Souche,4.201569,44.628776
3157,07315,La Souche,4.201569,44.628776
3158,07316,Soyons,4.8522999,44.891249
3159,07317,Talencieux,4.77335,45.217709
3160,07317,Talencieux,4.77335,45.217709
3161,07319,Le Teil,4.683794,44.55061
3162,07319,Le Teil,4.683794,44.55061
3163,07321,Thorrenc,4.7582379999999995,45.232647
3164,07321,Thorrenc,4.7582379999999995,45.232647
3165,07322,Thueyts,4.2218029999999995,44.675752
3166,07322,Thueyts,4.2218029999999995,44.675752
3167,07323,Toulaud,4.8194039,44.897384
3168,07323,Toulaud,4.8194039,44.897384
3169,07324,Tournon-sur-Rhône,4.832137,45.067915
3170,07324,Tournon-sur-Rhône,4.832137,45.067915
3171,07325,Ucel,4.383416,44.6424049
3172,07325,Ucel,4.383416,44.6424049
3173,07326,Usclades-et-Rieutord,4.1589,44.7764
3174,07326,Usclades-et-Rieutord,4.1589,44.7764
3175,07327,Uzer,4.325023000000001,44.519056899999995
3176,07327,Uzer,4.325023000000001,44.519056899999995
3177,07328,Vagnas,4.365547,44.346165
3178,07328,Vagnas,4.365547,44.346165
3179,07329,Valgorge,4.123651000000001,44.589534
3180,07329,Valgorge,4.123651000000001,44.589534
3181,07330,Vallon-Pont-d'Arc,4.395401000000001,44.407452
3182,07330,Vallon-Pont-d'Arc,4.395401000000001,44.407452
3183,07331,Vals-les-Bains,4.36487,44.66515
3184,07331,Vals-les-Bains,4.36487,44.66515
3185,07332,Valvignères,4.574717,44.500605
3186,07332,Valvignères,4.574717,44.500605
3187,07333,Vanosc,4.549544999999999,45.223692
3188,07333,Vanosc,4.549544999999999,45.223692
3189,07334,Les Vans,4.1319169,44.404688
3190,07334,Les Vans,4.1319169,44.404688
3191,07335,Vaudevant,4.619425,45.103922999999995
3192,07336,Vernon,4.2241989,44.507171
3193,07336,Vernon,4.2241989,44.507171
3194,07337,Vernosc-lès-Annonay,4.725498,45.222464
3195,07338,Vernoux-en-Vivarais,4.646171,44.895927
3196,07339,Vesseaux,4.439654,44.651072
3197,07339,Vesseaux,4.439654,44.651072
3198,07340,Veyras,4.56252,44.735589000000004
3199,07340,Veyras,4.56252,44.735589000000004
3200,07341,Villeneuve-de-Berg,4.50099,44.556738
3201,07341,Villeneuve-de-Berg,4.50099,44.556738
3202,07342,Villevocance,4.587803,45.224762
3203,07342,Villevocance,4.587803,45.224762
3204,07343,Vinezac,4.324766,44.539879
3205,07343,Vinezac,4.324766,44.539879
3206,07344,Vinzieux,4.701344000000001,45.32756
3207,07345,Vion,4.8052979,45.110003000000006
3208,07345,Vion,4.8052979,45.110003000000006
3209,07346,Viviers,4.691053,44.480269
3210,07346,Viviers,4.691053,44.480269
3211,07347,Vocance,4.553789,45.201111
3212,07347,Vocance,4.553789,45.201111
3213,07348,Vogüé,4.413293,44.551115
3214,07348,Vogüé,4.413293,44.551115
3215,07349,La Voulte-sur-Rhône,4.7807129999999995,44.7996
3216,07349,La Voulte-sur-Rhône,4.7807129999999995,44.7996
3217,08010,Ambly-Fleury,4.485218,49.48619
3218,08011,Anchamps,4.675371,49.930935999999996
